action,spot,forward,a,b,rho,rho_negative,m,m_negative,sigma,risk_free_rate,strike,is_up,quantity
mint,,,,,,,,,,,73083998922049,true,633970636413
update_basis,69432323070000,69420510800000,,,,,,,,,,,
update_svi,,,310000,35700000,235410000,true,4200000,false,69390000,35000000,,,
mint,,,,,,,,,,,76372989423074,false,174578008003
update_basis,68834668030000,68829750650000,,,,,,,,,,,
update_svi,,,610000,35400000,181040000,true,13640000,false,59560000,35000000,,,
mint,,,,,,,,,,,62500160579450,false,1623517249314
update_basis,68919019440000,68927295680000,,,,,,,,,,,
update_svi,,,790000,33870000,161370000,true,16870000,false,53690000,35000000,,,
mint,,,,,,,,,,,64253150702966,false,381930630226
update_basis,68796342740000,68799363520000,,,,,,,,,,,
update_svi,,,690000,35300000,162160000,true,15830000,false,56990000,35000000,,,
mint,,,,,,,,,,,71873628009749,false,64910976778
update_basis,68796342740000,68920715960000,,,,,,,,,,,
update_svi,,,690000,35300000,162160000,true,15830000,false,56990000,35000000,,,
mint,,,,,,,,,,,72556399511035,true,93331976969
update_basis,68948101610000,68947496260000,,,,,,,,,,,
update_svi,,,590000,35070000,181390000,true,13540000,false,60060000,35000000,,,
mint,,,,,,,,,,,61788903693172,false,926920134818
update_basis,68969097880000,68956874400000,,,,,,,,,,,
update_svi,,,520000,35330000,195120000,true,11090000,false,61540000,35000000,,,
mint,,,,,,,,,,,64343969865663,false,871943900306
update_basis,69147311070000,69139354350000,,,,,,,,,,,
update_svi,,,550000,35310000,192280000,true,11990000,false,59230000,35000000,,,
mint,,,,,,,,,,,72430073699112,true,139168159736
update_basis,68969097880000,68956874400000,,,,,,,,,,,
update_svi,,,520000,35330000,195120000,true,11090000,false,61540000,35000000,,,
mint,,,,,,,,,,,62796196421852,false,1029653652298
update_basis,68901498500000,68904811620000,,,,,,,,,,,
update_svi,,,530000,35540000,191700000,true,11170000,false,62800000,35000000,,,
mint,,,,,,,,,,,65057559729311,true,112192008940
update_basis,68751343240000,68745479070000,,,,,,,,,,,
update_svi,,,580000,35930000,183130000,true,12510000,false,63670000,35000000,,,
mint,,,,,,,,,,,75768786510470,true,683968571881
update_basis,68894377200000,68890112870000,,,,,,,,,,,
update_svi,,,500000,35980000,207530000,true,10340000,false,64630000,35000000,,,
mint,,,,,,,,,,,71461944655167,false,72992356237
update_basis,68989905560000,68983805600000,,,,,,,,,,,
update_svi,,,370000,36680000,236850000,true,6280000,false,68140000,35000000,,,
mint,,,,,,,,,,,70828379760427,false,37524400838
update_basis,68973108300000,68967863210000,,,,,,,,,,,
update_svi,,,580000,35200000,186700000,true,13200000,false,62690000,35000000,,,
mint,,,,,,,,,,,76302972266109,false,207707069343
update_basis,69120325420000,69111392830000,,,,,,,,,,,
update_svi,,,570000,35390000,193290000,true,12850000,false,60060000,35000000,,,
mint,,,,,,,,,,,77707597620910,true,3152696112483
update_basis,69091233320000,69079799290000,,,,,,,,,,,
update_svi,,,320000,36490000,230700000,true,4210000,false,67600000,35000000,,,
mint,,,,,,,,,,,62682513053461,true,178436593833
update_basis,69233611920000,69215638840000,,,,,,,,,,,
update_svi,,,440000,35810000,220010000,true,8620000,false,64310000,35000000,,,
mint,,,,,,,,,,,67240124658170,false,404183319296
update_basis,69233611920000,69403410310000,,,,,,,,,,,
update_svi,,,440000,35810000,220010000,true,8620000,false,64310000,35000000,,,
mint,,,,,,,,,,,66625930418599,true,154137310285
update_basis,68955302940000,68932154340000,,,,,,,,,,,
update_svi,,,320000,36270000,227920000,true,4580000,false,67630000,35000000,,,
mint,,,,,,,,,,,64672128558752,true,58133058899
update_basis,69013921300000,69000937700000,,,,,,,,,,,
update_svi,,,320000,36750000,231080000,true,4250000,false,66830000,35000000,,,
mint,,,,,,,,,,,75769179462725,false,120110313741
update_basis,69076595480000,69065729250000,,,,,,,,,,,
update_svi,,,390000,35760000,217570000,true,7030000,false,66350000,35000000,,,
mint,,,,,,,,,,,62665688260131,false,445806188588
update_basis,69091233320000,69079799290000,,,,,,,,,,,
update_svi,,,320000,36490000,230700000,true,4210000,false,67600000,35000000,,,
mint,,,,,,,,,,,67848708801768,false,454560364529
update_basis,69013921300000,69000937700000,,,,,,,,,,,
update_svi,,,320000,36750000,231080000,true,4250000,false,66830000,35000000,,,
mint,,,,,,,,,,,66596234319067,true,111781968212
update_basis,69405120630000,69386482230000,,,,,,,,,,,
update_svi,,,330000,35980000,227690000,true,5080000,false,65350000,35000000,,,
mint,,,,,,,,,,,74876169624681,false,118841917414
update_basis,69405120630000,69386482230000,,,,,,,,,,,
update_svi,,,330000,35980000,227690000,true,5080000,false,65350000,35000000,,,
mint,,,,,,,,,,,66060571410730,true,174489126522
update_basis,69463615850000,69447356970000,,,,,,,,,,,
update_svi,,,330000,36100000,235120000,true,4950000,false,64900000,35000000,,,
mint,,,,,,,,,,,65324792804538,false,499863311525
update_basis,69436497290000,69420361660000,,,,,,,,,,,
update_svi,,,340000,35910000,215910000,true,5030000,false,64760000,35000000,,,
mint,,,,,,,,,,,67627965515424,false,187841581513
update_basis,69463615850000,69447356970000,,,,,,,,,,,
update_svi,,,330000,36100000,235120000,true,4950000,false,64900000,35000000,,,
mint,,,,,,,,,,,68165556532549,false,368304908943
update_basis,68849807970000,68835734120000,,,,,,,,,,,
update_svi,,,320000,36880000,230670000,true,4250000,false,68940000,35000000,,,
mint,,,,,,,,,,,69142720084439,false,229891296830
update_basis,69499579970000,69483756850000,,,,,,,,,,,
update_svi,,,320000,36640000,231800000,true,4460000,false,62800000,35000000,,,
mint,,,,,,,,,,,68600668923534,false,286430293733
update_basis,69499579970000,69483756850000,,,,,,,,,,,
update_svi,,,320000,36640000,231800000,true,4460000,false,62800000,35000000,,,
mint,,,,,,,,,,,76472994076814,true,2567658495771
update_basis,69420221370000,69407177740000,,,,,,,,,,,
update_svi,,,410000,36130000,262430000,true,2650000,false,62820000,35000000,,,
mint,,,,,,,,,,,62480582654670,true,165094650731
update_basis,69355010190000,69342639720000,,,,,,,,,,,
update_svi,,,310000,36340000,235090000,true,4310000,false,64610000,35000000,,,
mint,,,,,,,,,,,74952198012823,true,1433829801958
update_basis,68842628320000,68838093800000,,,,,,,,,,,
update_svi,,,350000,36600000,219760000,true,5050000,false,68420000,35000000,,,
mint,,,,,,,,,,,63088833829375,true,108073590047
update_basis,68803083970000,68786712820000,,,,,,,,,,,
update_svi,,,320000,36960000,226540000,true,4190000,false,68950000,35000000,,,
mint,,,,,,,,,,,72602134262270,false,112258983471
update_basis,68955302940000,68932154340000,,,,,,,,,,,
update_svi,,,320000,36270000,227920000,true,4580000,false,67630000,35000000,,,
mint,,,,,,,,,,,67371264736928,true,174755831886
update_basis,68955302940000,68799302260000,,,,,,,,,,,
update_svi,,,320000,36270000,227920000,true,4580000,false,67630000,35000000,,,
mint,,,,,,,,,,,75437787258715,true,817392235253
update_basis,67963680260000,67932650630000,,,,,,,,,,,
update_svi,,,500000,32860000,218830000,true,13130000,false,71250000,35000000,,,
mint,,,,,,,,,,,56943843601918,false,483145445837
update_basis,68734662210000,68726324990000,,,,,,,,,,,
update_svi,,,310000,36400000,227920000,true,4150000,false,70330000,35000000,,,
mint,,,,,,,,,,,65464535876423,false,640527662218
update_basis,68804679400000,68796634560000,,,,,,,,,,,
update_svi,,,310000,36450000,230770000,true,4210000,false,69760000,35000000,,,
mint,,,,,,,,,,,76284782741515,false,174480540978
update_basis,68960318880000,68953850340000,,,,,,,,,,,
update_svi,,,390000,35440000,209630000,true,6990000,false,66750000,35000000,,,
mint,,,,,,,,,,,58232853994506,true,150196230769
update_basis,67951423560000,67932650630000,,,,,,,,,,,
update_svi,,,580000,32690000,204930000,true,15790000,false,68100000,35000000,,,
mint,,,,,,,,,,,67301154117094,false,405028431435
update_basis,68982835490000,68977548910000,,,,,,,,,,,
update_svi,,,350000,35900000,218450000,true,5390000,false,67660000,35000000,,,
mint,,,,,,,,,,,76673901488419,false,43917412320
update_basis,67890676890000,67869382020000,,,,,,,,,,,
update_svi,,,580000,32640000,207150000,true,16000000,false,68000000,35000000,,,
mint,,,,,,,,,,,70829339183162,false,131106485334
update_basis,67894710710000,67875827440000,,,,,,,,,,,
update_svi,,,590000,32740000,201650000,true,15960000,false,67600000,35000000,,,
mint,,,,,,,,,,,64871693571487,true,28382036062
update_basis,68986671680000,69092514090000,,,,,,,,,,,
update_svi,,,400000,35430000,249120000,true,3120000,false,66580000,35000000,,,
mint,,,,,,,,,,,71980274996021,true,231214555450
update_basis,69053067580000,69040284030000,,,,,,,,,,,
update_svi,,,320000,36180000,235120000,true,4750000,false,66880000,35000000,,,
mint,,,,,,,,,,,73323628352032,true,440475344651
update_basis,69076429900000,69068128300000,,,,,,,,,,,
update_svi,,,310000,35900000,233230000,true,4350000,false,67850000,35000000,,,
mint,,,,,,,,,,,69207491675080,false,108774070091
update_basis,68914357630000,68903117340000,,,,,,,,,,,
update_svi,,,350000,35770000,224270000,true,5580000,false,67070000,35000000,,,
mint,,,,,,,,,,,66371791040060,false,252841013294
update_basis,69010706490000,68993584820000,,,,,,,,,,,
update_svi,,,310000,35850000,231270000,true,4340000,false,68780000,35000000,,,
mint,,,,,,,,,,,75736241961574,true,1211677958481
update_basis,67935037810000,67926871060000,,,,,,,,,,,
update_svi,,,640000,32220000,189060000,true,18020000,false,65500000,35000000,,,
mint,,,,,,,,,,,75272223151189,false,53027367238
update_basis,69004220240000,68995834730000,,,,,,,,,,,
update_svi,,,350000,35400000,250080000,true,3540000,false,68720000,35000000,,,
mint,,,,,,,,,,,67644754442818,true,165780603557
update_basis,69026884470000,69019839670000,,,,,,,,,,,
update_svi,,,300000,35610000,242230000,true,4310000,false,68230000,35000000,,,
mint,,,,,,,,,,,73529342668410,false,194012362250
update_basis,69026884470000,69019839670000,,,,,,,,,,,
update_svi,,,300000,35610000,242230000,true,4310000,false,68230000,35000000,,,
mint,,,,,,,,,,,71546388467377,false,194231259790
update_basis,69026884470000,69019839670000,,,,,,,,,,,
update_svi,,,300000,35610000,242230000,true,4310000,false,68230000,35000000,,,
mint,,,,,,,,,,,70029081050738,false,75742058949
update_basis,67885535770000,67859425120000,,,,,,,,,,,
update_svi,,,550000,32750000,208480000,true,14610000,false,69320000,35000000,,,
mint,,,,,,,,,,,75212776456160,false,65865086928
update_basis,68873451760000,68862575170000,,,,,,,,,,,
update_svi,,,320000,35270000,238400000,true,5070000,false,68770000,35000000,,,
mint,,,,,,,,,,,69695185636430,false,123767797397
update_basis,68624086970000,68598958120000,,,,,,,,,,,
update_svi,,,440000,34670000,248400000,true,10300000,false,66860000,35000000,,,
mint,,,,,,,,,,,59952894077622,false,1708363043091
update_basis,68571797090000,68564617730000,,,,,,,,,,,
update_svi,,,550000,33710000,215500000,true,14070000,false,66430000,35000000,,,
mint,,,,,,,,,,,66652035267638,true,143963932750
update_basis,68385909850000,68368486400000,,,,,,,,,,,
update_svi,,,320000,37060000,290900000,true,5390000,false,68440000,35000000,,,
mint,,,,,,,,,,,66398292381826,false,126966341384
update_basis,68537554950000,68531442820000,,,,,,,,,,,
update_svi,,,510000,34690000,232350000,true,12570000,false,64580000,35000000,,,
mint,,,,,,,,,,,64961717126416,true,213358330237
update_basis,67854686410000,67820878930000,,,,,,,,,,,
update_svi,,,370000,33780000,247960000,true,8100000,false,75430000,35000000,,,
mint,,,,,,,,,,,64989528236871,false,312164620713
update_basis,68429747240000,68418093880000,,,,,,,,,,,
update_svi,,,340000,36440000,283450000,true,6200000,false,68070000,35000000,,,
mint,,,,,,,,,,,58525603087333,false,2608571393033
update_basis,68500735540000,68494447880000,,,,,,,,,,,
update_svi,,,520000,34500000,235680000,true,13310000,false,64250000,35000000,,,
mint,,,,,,,,,,,57571562905967,false,2439383055448
update_basis,67995046700000,67979351160000,,,,,,,,,,,
update_svi,,,540000,32650000,214560000,true,14690000,false,68600000,35000000,,,
mint,,,,,,,,,,,60367085248562,true,146698434731
update_basis,68400707690000,68389218400000,,,,,,,,,,,
update_svi,,,510000,34540000,231550000,true,12570000,false,65940000,35000000,,,
mint,,,,,,,,,,,76273857570002,true,1211416503091
update_basis,68013250960000,67995296410000,,,,,,,,,,,
update_svi,,,550000,32680000,211060000,true,14960000,false,67760000,35000000,,,
mint,,,,,,,,,,,67714349432241,false,305871252994
update_basis,68594672910000,68584959990000,,,,,,,,,,,
update_svi,,,310000,36530000,293020000,true,5360000,false,68150000,35000000,,,
mint,,,,,,,,,,,62325956776368,false,468976314128
update_basis,68476275470000,68500963090000,,,,,,,,,,,
update_svi,,,320000,36520000,288910000,true,5680000,false,68180000,35000000,,,
mint,,,,,,,,,,,64450206870176,true,177962942495
update_basis,68372428960000,68359334490000,,,,,,,,,,,
update_svi,,,350000,36530000,305800000,true,4490000,false,68510000,35000000,,,
mint,,,,,,,,,,,65852037250922,true,260762275768
update_basis,68318523240000,68304208640000,,,,,,,,,,,
update_svi,,,310000,36950000,293250000,true,5420000,false,68800000,35000000,,,
mint,,,,,,,,,,,56093705286636,false,2735134846105
update_basis,68318523240000,68304208640000,,,,,,,,,,,
update_svi,,,310000,36950000,293250000,true,5420000,false,68800000,35000000,,,
mint,,,,,,,,,,,64522632599647,true,183321212300
update_basis,68110017330000,68092108760000,,,,,,,,,,,
update_svi,,,550000,32680000,211060000,true,14960000,false,67760000,35000000,,,
mint,,,,,,,,,,,67318175704781,true,103000012388
update_basis,68318523240000,68327592280000,,,,,,,,,,,
update_svi,,,310000,36990000,290890000,true,5380000,false,68710000,35000000,,,
mint,,,,,,,,,,,73953963150824,true,1437682235398
update_basis,68473100800000,68465945030000,,,,,,,,,,,
update_svi,,,340000,35630000,275120000,true,6880000,false,69670000,35000000,,,
mint,,,,,,,,,,,56863647740046,false,3812367927991
update_basis,68420931190000,68406690310000,,,,,,,,,,,
update_svi,,,310000,36970000,295340000,true,5460000,false,68220000,35000000,,,
mint,,,,,,,,,,,62122901920514,false,980999543956
update_basis,68414500000000,68409973430000,,,,,,,,,,,
update_svi,,,380000,36050000,277580000,true,8010000,false,67650000,35000000,,,
mint,,,,,,,,,,,70665068302413,false,39277811061
update_basis,68353860220000,68339084940000,,,,,,,,,,,
update_svi,,,370000,36680000,302440000,true,4240000,false,68050000,35000000,,,
mint,,,,,,,,,,,70345372577344,false,246338189876
update_basis,68110017330000,68092108760000,,,,,,,,,,,
update_svi,,,490000,33090000,224050000,true,12450000,false,70120000,35000000,,,
mint,,,,,,,,,,,73872426022045,true,2683842296257
update_basis,68323739730000,68318077550000,,,,,,,,,,,
update_svi,,,310000,36890000,291580000,true,5380000,false,68730000,35000000,,,
mint,,,,,,,,,,,66058385105958,false,610326258827
update_basis,68370011360000,68362780590000,,,,,,,,,,,
update_svi,,,410000,35630000,292710000,true,6410000,false,67830000,35000000,,,
mint,,,,,,,,,,,58753238774048,false,841642218646
update_basis,68426303380000,68419548630000,,,,,,,,,,,
update_svi,,,480000,35570000,307230000,true,3580000,false,66160000,35000000,,,
mint,,,,,,,,,,,69849728713915,true,559004905240
update_basis,68325105640000,68349538590000,,,,,,,,,,,
update_svi,,,420000,35920000,274850000,true,7450000,false,66870000,35000000,,,
mint,,,,,,,,,,,74695621017091,false,182780548257
update_basis,68360551600000,68360578490000,,,,,,,,,,,
update_svi,,,470000,35660000,294050000,true,5100000,false,65790000,35000000,,,
mint,,,,,,,,,,,73401038450314,true,327534372429
update_basis,68033898820000,68152265800000,,,,,,,,,,,
update_svi,,,640000,32620000,198380000,true,18080000,false,66790000,35000000,,,
mint,,,,,,,,,,,58124713126987,true,61418521922
update_basis,68348409300000,68329990800000,,,,,,,,,,,
update_svi,,,310000,36760000,296980000,true,5460000,false,67610000,35000000,,,
mint,,,,,,,,,,,59309953456403,false,2657436789101
update_basis,68348409300000,68306966010000,,,,,,,,,,,
update_svi,,,360000,35960000,277440000,true,7520000,false,66920000,35000000,,,
mint,,,,,,,,,,,58774745691923,false,3466426893298
update_basis,68322081600000,68306966010000,,,,,,,,,,,
update_svi,,,360000,35960000,277440000,true,7520000,false,66920000,35000000,,,
mint,,,,,,,,,,,59239060052367,true,75899792621
update_basis,68194631000000,68183233320000,,,,,,,,,,,
update_svi,,,370000,35600000,256040000,true,7180000,false,68580000,35000000,,,
mint,,,,,,,,,,,62402354183357,true,62380174335
update_basis,68091889710000,68071336110000,,,,,,,,,,,
update_svi,,,410000,36070000,255860000,true,8380000,false,66270000,35000000,,,
mint,,,,,,,,,,,65097291984581,false,48941853570
update_basis,68091889710000,68071336110000,,,,,,,,,,,
update_svi,,,410000,36070000,255860000,true,8380000,false,66270000,35000000,,,
mint,,,,,,,,,,,65340317100181,true,143466561302
update_basis,68155012350000,68148331680000,,,,,,,,,,,
update_svi,,,560000,34910000,222320000,true,13900000,false,62310000,35000000,,,
mint,,,,,,,,,,,65548897419233,true,253898955337
update_basis,68125732320000,68108748370000,,,,,,,,,,,
update_svi,,,530000,34950000,226010000,true,12950000,false,63270000,35000000,,,
mint,,,,,,,,,,,64751880007812,false,228199759903
update_basis,68243157820000,68229003200000,,,,,,,,,,,
update_svi,,,620000,33240000,195120000,true,16440000,false,65960000,35000000,,,
mint,,,,,,,,,,,70792280771561,false,129889910422
update_basis,68533793190000,68519073360000,,,,,,,,,,,
update_svi,,,450000,34260000,253150000,true,11180000,false,66880000,35000000,,,
mint,,,,,,,,,,,60920581132866,true,166564844733
update_basis,68155012350000,68282402420000,,,,,,,,,,,
update_svi,,,370000,36110000,273540000,true,7480000,false,66520000,35000000,,,
mint,,,,,,,,,,,72337398874824,false,28738483808
update_basis,68410183310000,68395554120000,,,,,,,,,,,
update_svi,,,450000,34280000,246820000,true,11070000,false,66650000,35000000,,,
mint,,,,,,,,,,,66405881887110,false,100761253700
update_basis,68243157820000,68229003200000,,,,,,,,,,,
update_svi,,,620000,33240000,195120000,true,16440000,false,65960000,35000000,,,
mint,,,,,,,,,,,60270074276968,false,389670509592
update_basis,68413786380000,68398149110000,,,,,,,,,,,
update_svi,,,420000,34310000,254400000,true,9970000,false,68520000,35000000,,,
mint,,,,,,,,,,,75518767701642,false,100627212033
update_basis,68413786380000,68213479890000,,,,,,,,,,,
update_svi,,,420000,34310000,254400000,true,9970000,false,68520000,35000000,,,
mint,,,,,,,,,,,75662392160082,true,536255294792
update_basis,68216288830000,68216341040000,,,,,,,,,,,
update_svi,,,600000,32170000,215920000,true,17530000,false,68480000,35000000,,,
mint,,,,,,,,,,,73118915286946,false,163463019922
update_basis,68147703930000,68133438890000,,,,,,,,,,,
update_svi,,,470000,35390000,237970000,true,10800000,false,65230000,35000000,,,
mint,,,,,,,,,,,69797435497663,false,220673785393
update_basis,68237497650000,68223026820000,,,,,,,,,,,
update_svi,,,590000,33360000,199970000,true,15330000,false,67200000,35000000,,,
mint,,,,,,,,,,,67226443328107,true,336689279555
update_basis,67955575440000,67936528270000,,,,,,,,,,,
update_svi,,,380000,35250000,275460000,true,8350000,false,72000000,35000000,,,
mint,,,,,,,,,,,70443346790962,false,204564393421
update_basis,67934410580000,67911711050000,,,,,,,,,,,
update_svi,,,320000,36300000,293180000,true,6010000,false,71240000,35000000,,,
mint,,,,,,,,,,,71018096944116,false,102562466433
update_basis,67955575440000,67936528270000,,,,,,,,,,,
update_svi,,,380000,35250000,275460000,true,8350000,false,72000000,35000000,,,
mint,,,,,,,,,,,68782276690099,false,225730701375
update_basis,67940237560000,67924056860000,,,,,,,,,,,
update_svi,,,580000,32690000,204080000,true,15610000,false,68470000,35000000,,,
mint,,,,,,,,,,,67388494356958,true,205531362381
update_basis,67940237560000,67924056860000,,,,,,,,,,,
update_svi,,,580000,32690000,204080000,true,15610000,false,68470000,35000000,,,
mint,,,,,,,,,,,61134510798313,true,15773475307
update_basis,67963680260000,67942017500000,,,,,,,,,,,
update_svi,,,500000,32860000,218830000,true,13130000,false,71250000,35000000,,,
mint,,,,,,,,,,,64918149435149,false,464508971791
update_basis,68165845020000,68168184740000,,,,,,,,,,,
update_svi,,,470000,33230000,246090000,true,12520000,false,71750000,35000000,,,
mint,,,,,,,,,,,62375601925189,true,70997290440
update_basis,68153900190000,68140439920000,,,,,,,,,,,
update_svi,,,630000,32310000,190630000,true,17050000,false,66990000,35000000,,,
mint,,,,,,,,,,,70962029924588,false,226134285749
update_basis,68154510180000,68140439920000,,,,,,,,,,,
update_svi,,,1250000,29200000,330720000,true,3740000,false,56150000,35000000,,,
mint,,,,,,,,,,,70113267540545,true,179454726459
update_basis,67937631300000,67931188260000,,,,,,,,,,,
update_svi,,,760000,30370000,260170000,true,5630000,false,66930000,35000000,,,
mint,,,,,,,,,,,75194792447047,true,3977838747030
update_basis,67993966360000,67980899670000,,,,,,,,,,,
update_svi,,,1360000,27500000,323970000,true,5170000,false,53730000,35000000,,,
mint,,,,,,,,,,,66033255769649,true,54740368816
update_basis,67338543360000,67320273020000,,,,,,,,,,,
update_svi,,,2000000,23980000,391070000,true,1070000,false,38050000,35000000,,,
mint,,,,,,,,,,,65025047687871,true,268531343727
update_basis,68178351810000,68162759420000,,,,,,,,,,,
update_svi,,,940000,25730000,251190000,true,6990000,false,56020000,35000000,,,
mint,,,,,,,,,,,74781039374651,false,197499368277
update_basis,67617589360000,67614145590000,,,,,,,,,,,
update_svi,,,960000,29890000,255440000,true,9090000,false,61580000,35000000,,,
mint,,,,,,,,,,,65936722865816,true,58311227001
update_basis,67150975220000,67136181720000,,,,,,,,,,,
update_svi,,,1250000,28540000,179750000,true,17100000,false,57430000,35000000,,,
mint,,,,,,,,,,,68823009425357,false,145326168411
update_basis,66998603230000,66988406260000,,,,,,,,,,,
update_svi,,,1830000,25730000,240490000,true,16150000,false,41160000,35000000,,,
mint,,,,,,,,,,,56704637552954,true,50282614514
update_basis,67733311820000,67723698350000,,,,,,,,,,,
update_svi,,,670000,29460000,297230000,true,2360000,false,59970000,35000000,,,
mint,,,,,,,,,,,63423079392749,false,802845610188
update_basis,67101360710000,66988406260000,,,,,,,,,,,
update_svi,,,1560000,27120000,272220000,true,8910000,false,51760000,35000000,,,
mint,,,,,,,,,,,73946043817118,true,2539049394260
update_basis,66998603230000,66948648950000,,,,,,,,,,,
update_svi,,,1830000,25730000,240490000,true,16150000,false,41160000,35000000,,,
mint,,,,,,,,,,,60225657148895,false,1274535189449
update_basis,67171508810000,67162360350000,,,,,,,,,,,
update_svi,,,1450000,27300000,257230000,true,9340000,false,51990000,35000000,,,
mint,,,,,,,,,,,63078081369268,false,580003696841
update_basis,67126783830000,67114500070000,,,,,,,,,,,
update_svi,,,1090000,29590000,242890000,true,9370000,false,59350000,35000000,,,
mint,,,,,,,,,,,73474521101128,false,195282068286
update_basis,67733311820000,67723698350000,,,,,,,,,,,
update_svi,,,670000,29460000,297230000,true,2360000,false,59970000,35000000,,,
mint,,,,,,,,,,,68535246071563,true,296687306749
update_basis,66631456720000,66611450590000,,,,,,,,,,,
update_svi,,,1930000,25420000,386120000,true,290000,false,45690000,35000000,,,
mint,,,,,,,,,,,61063704915811,true,67931569047
update_basis,66631456720000,66611450590000,,,,,,,,,,,
update_svi,,,1930000,25420000,386120000,true,290000,false,45690000,35000000,,,
mint,,,,,,,,,,,70878903677759,true,547479427749
update_basis,66543332180000,66457451860000,,,,,,,,,,,
update_svi,,,1030000,30460000,181100000,true,20620000,false,60610000,35000000,,,
mint,,,,,,,,,,,68991988737058,false,136848595773
update_basis,66543332180000,66551853600000,,,,,,,,,,,
update_svi,,,1030000,30460000,181100000,true,20620000,false,60610000,35000000,,,
mint,,,,,,,,,,,62866337881744,false,939716029033
update_basis,66520281220000,66512348650000,,,,,,,,,,,
update_svi,,,710000,30510000,165690000,true,18310000,false,72940000,35000000,,,
mint,,,,,,,,,,,58411682297577,false,725653253306
update_basis,66520281220000,66655428460000,,,,,,,,,,,
update_svi,,,710000,30510000,165690000,true,18310000,false,72940000,35000000,,,
mint,,,,,,,,,,,74392719200154,true,3255090741565
update_basis,66649057000000,66655428460000,,,,,,,,,,,
update_svi,,,750000,30810000,197660000,true,16590000,false,68370000,35000000,,,
mint,,,,,,,,,,,63737036859892,false,53453539689
update_basis,66649057000000,66655428460000,,,,,,,,,,,
update_svi,,,750000,30810000,197660000,true,16590000,false,68370000,35000000,,,
mint,,,,,,,,,,,57444874287013,true,115171337095
update_basis,66657731990000,66650885490000,,,,,,,,,,,
update_svi,,,820000,29940000,208740000,true,13940000,false,69810000,35000000,,,
mint,,,,,,,,,,,69844821124904,true,468527560083
update_basis,66490791470000,66491817110000,,,,,,,,,,,
update_svi,,,1040000,28820000,196970000,true,18120000,false,66550000,35000000,,,
mint,,,,,,,,,,,61292862631371,false,1280872750965
update_basis,66657731990000,66650885490000,,,,,,,,,,,
update_svi,,,820000,29940000,208740000,true,13940000,false,69810000,35000000,,,
mint,,,,,,,,,,,68963201111991,false,27686800973
update_basis,66514730050000,66491989690000,,,,,,,,,,,
update_svi,,,960000,30280000,285300000,true,5850000,false,68090000,35000000,,,
mint,,,,,,,,,,,60570852794227,false,1621751906754
update_basis,66514730050000,66516681690000,,,,,,,,,,,
update_svi,,,960000,30280000,285300000,true,5850000,false,68090000,35000000,,,
mint,,,,,,,,,,,73775014382264,true,574743037885
update_basis,66460806090000,66468935200000,,,,,,,,,,,
update_svi,,,570000,31890000,231780000,true,9140000,false,75610000,35000000,,,
mint,,,,,,,,,,,69914801019756,true,238340556539
update_basis,66460806090000,66468935200000,,,,,,,,,,,
update_svi,,,570000,31890000,231780000,true,9140000,false,75610000,35000000,,,
mint,,,,,,,,,,,62023609715214,false,516665029142
update_basis,66701565550000,66704615390000,,,,,,,,,,,
update_svi,,,330000,33660000,320700000,true,3750000,false,78070000,35000000,,,
mint,,,,,,,,,,,69835152465448,false,19259906745
update_basis,68558721460000,68519913920000,,,,,,,,,,,
update_svi,,,840000,26990000,364740000,true,3890000,true,59910000,35000000,,,
mint,,,,,,,,,,,63666351431440,false,798258212551
update_basis,66979816660000,66995469240000,,,,,,,,,,,
update_svi,,,630000,31070000,231970000,true,6880000,false,70340000,35000000,,,
mint,,,,,,,,,,,67790559885292,false,153798833572
update_basis,66851374870000,66843215970000,,,,,,,,,,,
update_svi,,,930000,30040000,194680000,true,13490000,false,60600000,35000000,,,
mint,,,,,,,,,,,65413372756815,true,96131815053
update_basis,66979816660000,66966608300000,,,,,,,,,,,
update_svi,,,1020000,29340000,210190000,true,10440000,false,58270000,35000000,,,
mint,,,,,,,,,,,56625350224710,true,98273146177
update_basis,66977759530000,66959998130000,,,,,,,,,,,
update_svi,,,1020000,29340000,210190000,true,10440000,false,58270000,35000000,,,
mint,,,,,,,,,,,66221516528621,true,114884560009
update_basis,66777065140000,66782099910000,,,,,,,,,,,
update_svi,,,900000,29600000,170260000,true,14800000,false,61260000,35000000,,,
mint,,,,,,,,,,,69389977968920,true,810677870624
update_basis,68343322100000,68337669020000,,,,,,,,,,,
update_svi,,,1250000,24170000,298490000,true,7420000,false,40950000,35000000,,,
mint,,,,,,,,,,,69036601174437,true,165847285316
update_basis,66842246410000,66839151930000,,,,,,,,,,,
update_svi,,,1210000,29940000,188600000,true,19740000,false,50670000,35000000,,,
mint,,,,,,,,,,,74656197110539,true,2707830776915
update_basis,68343322100000,68337669020000,,,,,,,,,,,
update_svi,,,1250000,24170000,298490000,true,7420000,false,40950000,35000000,,,
mint,,,,,,,,,,,71055116988626,true,123158085037
update_basis,67052297730000,67056249280000,,,,,,,,,,,
update_svi,,,780000,30890000,237460000,true,8720000,false,65670000,35000000,,,
mint,,,,,,,,,,,62584986889445,true,153257706227
update_basis,67065575560000,67068725240000,,,,,,,,,,,
update_svi,,,700000,30780000,223780000,true,11190000,false,68150000,35000000,,,
mint,,,,,,,,,,,66477085813963,true,298267680850
update_basis,67046821530000,66999159830000,,,,,,,,,,,
